product_name,product_description,product_domain
TagZ Foods,TagZ Foods is a supplier of snacks and food products.,Food
Fuel Buddy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Oil and Energy
M1xchange,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,FinTech
Spintly,Wireless cloud based access control platform,Tech Startup
EF Polymer,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,AgriTech
boAt,boAt is a consumer electronics and lifestyle company.,Electronics
TruNativ,TruNativ Foods & Beverages Pvt Ltd,Food & Beverages
iBus,iBus Networks is an in-building connectivity solutions company,Telecommuncation
Puresh Daily,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,Milk startup
LearnVern,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,EdTech
LimeChat,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,AI Chatbot
Dybo,Product Visualisation Technology for Commerce,IT
moEVing,"Delivering clean, cost-effective and efficient mobility solutions.",Logistics
WeWork India,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Hospitality
Solethreads,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Fashion
Beldara,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",E-commerce
CredFlow,CredFlow provides financial solutions to automate your cashflows.,FinTech
Do Your Thng,World's first shared economy platform for digital assets.,Marketing
Oye Rickshaw,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,Transportation
Legitquest,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,LegalTech
Swiggy,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,Food delivery
AntWak,AntWak provides a video platform for e-learning service.,EdTech
PlayShifu,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,EdTech
Pitstop,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Automotive
Lendingkart,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,FinTech
CRED,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,FinTech
Karnival,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,SaaS startup
PharmEasy,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",HealthTech
WESS,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Renewable Energy
ShopSe,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,FinTech
Fantasy Akhada,Fantasy Akhada offers fantasy sports platform for cricket and football.,Fantasy sports
Rage Coffee,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Food & Beverages
Groww,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,FinTech
Avanti Finance,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,FinTech
Kudos,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",FinTech
OfBusiness,OfBusiness is a financing platform that offers smart financing to SMEs.,FinTech
Superpro.ai,Enabling independent professionals to bring offline consulting online with AI,Video communication
ShareChat,ShareChat is a social networking and regional content platform.,Social Media
WiT-ACE,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",Skill development
Spinny,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,Retail
Alteria Capital,Alteria Capital is a Venture debt firm .,FinTech
Safexpay,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,FinTech
PumPumPum,Pumpumpum is a car rental company.,Rental
Speciale Invest,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,FinTech
Eunimart,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce
Meesho,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,E-commerce
CareerLabs,"Aim to help students become future-ready, setting them on a path to success that suits them best.",EdTech
Uable,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,EdTech
Zoko,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",Tech Startup
GetWork,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Recruitment
Easebuzz,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,E-commerce
Chingari,Chingari operates as a short video platform.,Social Media
DusMinute,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,Retail
Onsurity,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,HealthCare
Karbon Card,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,FinTech
Factors.AI,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers",SaaS startup
Elevar,"A Revolutionary Sports Brand, Engineered For Those Who Want More.",Sports
Studio Sirah,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,Computer Games
OTO Capital,The Future Of Vehicle Ownership!,FinTech
1Bridge,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",Consumer Goods
Skeps,"A blockchain products company, developing a proprietary product in the FinTech space",FinTech
Curefoods,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Food & Beverages
TartanSense,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Information Technology
Bewakoof,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Apparel & Fashion
Kirana247,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,Logistics & Supply Chain
FanPlay,A real money game app specializing in trivia games,Computer Games
NeoDocs,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",Healthtech
IsGoingOnline,Kochi-based digital catalogue and marketplace IsGoingOnline,Retail
Camp K12,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",EdTech
Elda Health,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",Healthcare
Sporjo,A one stop destination to build a successful career in the Indian sports industry!,SportsTech
Advantage Club,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",HRTech
SuperGaming,"At SuperGaming, building India's best gaming company.",Gaming
Ruptok,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",FinTech
Curefoods,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Food & Beverages
TartanSense,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,Information Technology
Bewakoof,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",Apparel & Fashion
Kirana247,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,Logistics & Supply Chain
FanPlay,A real money game app specializing in trivia games,Computer Games
NeoDocs,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",Healthtech
IsGoingOnline,Kochi-based digital catalogue and marketplace IsGoingOnline,Retail
Camp K12,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",EdTech
Elda Health,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",Healthcare
Sporjo,A one stop destination to build a successful career in the Indian sports industry!,SportsTech
Advantage Club,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",HRTech
SuperGaming,"At SuperGaming, building India's best gaming company.",Gaming
Ruptok,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",FinTech
O’ Be Cocktails,India’s first and only Ready to Drink Premium Cocktails.,Wine & Spirits
Zetwerk,ZETWERK is a universal manufacturing network powered by new-age technology.,Mechanical & Industrial Engineering
AppsForBharat,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",Spiritual
Imagimake,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",Consumer Goods
Khatabook,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,Financial Services
Smytten,India's largest premium discovery and trial platform!,Consumer Goods
Syook,Syook is building the next generation enterprise IOT platform.,Industrial Automation
Akudo,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,FinTech
NOTO,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",Consumer Goods
Lumiq,Help enterprises monetize their data and reinvent the digital transformation journey.,Information Technology
CommerceUp,Grow and manage ecommerce business from single dashboard,Information Technology
Breathe Well-being,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",Health
Hike,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,Information Technology
House of Kieraya,"House of Kieraya, well-known for furniture and lifestyle rental brand ﻿Furlenco",Lifestyle
goEgoNetwork,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",Automotive
Probus,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",IoT
DrinkPrime,India's Smartest Water Purifiers and are redefining water purifier ownership.,Consumer Goods
Smart Express,India’s Most Innovative and Awarded Express Logistics Company.,Logistics
Smallcase,Smallcase is a new way to invest in the stock markets.,FinTech
SATYA MicroCapital,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,Banking
Snack Amor,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",Food & Beverages
Postman,Postman is the collaboration platform for API development.,Computer software
Hashnode,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,Computer software
RACEnergy,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Automotive
BharatPe,The vision to make financial inclusion a reality for Indian merchants.,FinTech
Gyde,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",Computer software
BatteryPool,Building the Operating System for managing Electric Vehicles in fleets.,Automotive
AgNext,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",AgriTech
Xpresslane,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Tech startup
LoanKuber,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Digital mortgage
OYO,OYO is a global travel tech company that connects its patrons and guests.,Hospitality
Rapido,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,Information Technology & Services
YPay,YPay Card is the new way to manage money.,FinTech
SleepyCat,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Furniture
Ultrahuman,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,Healthcare
UpScalio,"UpScalio is India’s next generation, data-driven consumer goods company.",E-commerce
Yellow Class,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",EdTech
Yojak,India’s first B2B online marketplace for building material.,B2B marketplace
CreatorStack,Helping creators globally to engage deeply with their fans and communities,Computer software
Expertrons,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,EdTech
Rage Coffee,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Food & Beverages
Klub,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,Financial Services
Navia Life Care,Navia Life Care is a health technlogy company with a special focus on patient care.,Healtcare
1K Kirana Bazaar,India's First and Largest Network of Small-Town Kirana Stores,Retail
Zupee,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",Gaming
Locale.ai,Location Analytics for Companies With Moving Assets and Ground Operations.,Location Analytics
VerSe Innovation,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Media
MetroRide,"Urban Mobility Affordable, Punctual & Sustainable.",Transportation
Miko,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",Consumer Electronics
Whiz League,Revolutionizing learning experience that goes beyond academia,EdTech
Hash,Hash is a new startup in consumer goods.,Tobacco
Unacademy,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,EdTech
Log 9 Materials,Log9 Materials is on a mission to make global energy 100% clean.,Deeptech
upGrad,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",EdTech
FlashPrep,FlashPrep is the smart way to master learning.,EdTech
Kenko Health,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience",Insuretech
Wiz Freight,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",Logistics & Supply Chain
Credgenics,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,Financial Services
BlueLearn,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!",EdTech
NimbleBox.ai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,MLOps platform
Pickrr,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,Logistics & Supply Chain
Stellaris Venture Partners,Early-stage tech VC in India.,Venture Capital
Grip Invest,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.",Financial Services
Heads Up For Tails,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",Pet care
Blue Tokai Coffee Roasters,"Source, roast, and brew India's best single-origin Arabica coffee.",Food & Beverages
Neeman,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Consumer Goods
BharatPe,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",FinTech
GoSats,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,FinTech
StockGro,Making Investment Social- India's First Social Trading Platform,FinTech
Onsurity,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!",Healthcare
Khabri,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,Media
Celcius,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Logistics
AyuRythm,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Healthcare
Enguru,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,EdTech
Rocket Skills,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,EdTech
RenewBuy,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",FinTech
Faarms,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,AgriTech
UrbanMatrix Technologies,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,Drone
Jupiter,"A digital banking experience that keeps pace with you, and helps master money too.",Banking
Pixuate,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.",Deeptech
Playo,Playo is a one stop destination app for all things sports,SportsTech
Toothsi,India’s first and largest at home smile makeover service using invisible aligners.,Health
Soothe Healthcare,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Consumer Goods
Goodmeetings,AI-Based Platform Built Exclusively for Remote Selling,Computer software
Apnaklub,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,Wholesale
ChefKart,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.",Consumer Goods
Fashinza,A new-age supply chain and product development platform for the fashion industry.,Apparel & Fashion
Fabheads,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,Industrial Automation
QuickShift,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Logistics & Supply Chain
StackBOX,DISTRIBUTION SIMPLIFIED,Logistics & Supply Chain
MedPrime Technologies,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.",Healthcare
infra.market,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,Construction
CollegeDekho,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",E-learning
BOX8,India's Largest Desi Meals Brand,Food & Beverages
Simpl,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards",Consumer Services
8i Ventures,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Venture Capital & Private Equity
PayGlocal,PayGlocal is a FinTech solving for global payments acceptance,Financial Services
Curefit,Tata Digital-backed Curefit,Health
Curefit,Tata Digital-backed Curefit,Wellness & Fitness
Pocket FM,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",OTT
CHARGE+ZONE,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Automotive
PlanetSpark,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,Education Management
LenDenClub,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,Financial Services
CometChat,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",Computer Software
AgroStar,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.",AgriTech
Bizongo,Bizongo is India’s largest B2B platform for made-to-order products.,Information Technology & Services
Probus Insurance,Probus Insurance is a leading InsurTech platform in India.,Insurance
MoEngage,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,Software Startup
CloudSEK,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,Computer & Network Security
Exponent Energy,Simplifying energy for EVs by building a Flexible Energy Stack.,Automotive
Trinkerr,Trinkerr is India's first social trading platform.,Capital Markets
Zorro,Pseudonymous social network platform,Social network
Ultraviolette,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,Automotive
NephroPlus,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",Hospital & Health Care
Unremot,Unremot is a personal office for consultants!,Information Technology & Services
FanAnywhere,Celebrity NFT platform,Financial Services
PingoLearn,PingoLearn offers language learning courses with snackable videos.,E-learning
Spry,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,Music
Enmovil,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,Information Technology & Services
ASQI Advisors,Bringing Blockchain technology intro mainstream finance!,Financial Services
Insurance Samadhan,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Insurance
Evenflow Brands,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,Consumer Goods
MasterChow,A ready-to-cook Asian cuisine brand,Hauz Khas
Fullife Healthcare,Varun Khanna,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.
Trinkerr,Trinkerr is India's first social trading platform.,Capital Markets
Zorro,Pseudonymous social network platform,Social network
Ultraviolette,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,Automotive
NephroPlus,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",Hospital & Health Care
Unremot,Unremot is a personal office for consultants!,Information Technology & Services
FanAnywhere,Celebrity NFT platform,Financial Services
PingoLearn,PingoLearn offers language learning courses with snackable videos.,E-learning
Spry,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,Music
Enmovil,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,Information Technology & Services
ASQI Advisors,Bringing Blockchain technology intro mainstream finance!,Financial Services
Insurance Samadhan,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Insurance
Evenflow Brands,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,Consumer Goods
MasterChow,A ready-to-cook Asian cuisine brand,Hauz Khas
Fullife Healthcare,Varun Khanna,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.
MoEVing,"Vikash Mishra, Mragank Jain",MoEVing is India's only Electric Mobility focused Technology Platform with a vision to accelerate EV adoption in India.
Pristyn Care,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,Hospital & Health Care
Plix,Plant-based nutraceutical firm,Health
Plix,Plant-based nutraceutical firm,Wellness & Fitness
Uni Cards,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.",Financial Services
Practically,An experiential learning app for grades 6th to 12th.,E-learning
Nestasia,"Artisanal, Handmade, bio conscious crafts from South East Asia.",Retail
Vedic Cosmeceuticals,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Cosmetics
Juspay,Enable frictionless payments for the billion Indians.,FinTech
TranZact,A mission to digitize millions of Indian SMEs so they can grow better.,Information Technology & Services
Atomberg,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,Consumer Electronics
Ola,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",Mobility
Mohalla Tech,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",Social media
Stack,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,Financial Services
PropReturns,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,Real Estate
WeSkill,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,E-learning
Fitpage,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Health
Fitpage,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Wellness & Fitness
ShopMyLooks,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,Digital platform
ByteLearn,AI powered teaching assistant for 100 Mn teachers across the world,E-learning
Dista,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,Computer Software
OfBusiness,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.",Financial Services
Bizongo,izongo is India’s largest B2B platform for made-to-order products.,B2B Ecommerce
FRND,FRND is an audio dating app for Bharat,Online Media
Metadome,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.",Computer Software
Keka HR,Keka is a simple and intuitive HR software unlike the traditional HR systems.,Information Technology & Services
Flo Mobility,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.",Industrial Automation
Yodacart,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,E-commerce
TheHouseMonk,A complete property management software platform for team&customers.,Real Estate
Zepto,"Ability to consistently deliver 2,500+ products in 10 minutes flat.",E-commerce
Sirona Hygiene,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",Health
Sirona Hygiene,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",Wellness & Fitness
Jumbotail,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",B2B Ecommerce
Captain Fresh,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Logistics & Supply Chain
Deciwood,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.",Consumer Electronics
Kohbee,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.",E-learning
Perfora,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",Consumer Goods
Unbox Robotics,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,Logistics & Supply Chain
Ninety One,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",Consumer Goods
Gobillion,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,Social commerce
RIPPLR,India’s first Plug-n-Play distribution ecosystem for brands,Logistics & Supply Chain
SK Finance,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,Financial Services
