product_name,product_description,product_domain
Elever,"Indias one-of-a-kind, fully personalised, goal-based investing app.",Financial Services
Hero FinCorp,"Delhi-based ?Hero FinCorp?, a non-banking finance company",Financial Services
Livspace,"Livspace is a trusted interior design marketplace that connects interior designers, vendors and customers across India and Singapore.",Home interior
ElasticRun,ElasticRun is a Kirana Commerce Platform. It enables businesses to reach small Kirana stores in the deep rural parts of India.,B2B E-commerce
Mintifi,India's first Deep Tier Channel Financing Platform,Financial Services
Anveya Living,"Anveya is building powerful brands that create a positive impact for the consumer, the industry and the planet.",Consumer Goods
Kofluence,Kofluence connects Brands to Social Media Influencers.,Marketing & Advertising
Mango Point,Natural and Healthy Fresh Mangoes and Mango Gourmet Products,Food & Beverages
IndiaP2P,Peer-to-peer investment platform,Investment Management
Sprinto,"Sprinto helps SaaS companies become SOC-2 compliant, close enterprise deals, and pass vendor security assessments easily",Computer Software
Xpressbees,Fastest growing express logistics service provider in India catering to end-to-end supply chain solutions.,Logistics & Supply Chain
Wealthy.in,Enable professionals to grow wealth for investors,Financial Services
xto10x,Helping startups all over the world scale meaningfully into world-class companies.,Information Technology & Services
Karbon Card,"Karbon Card is a B2B payment solution for India's finance leaders, entrepreneurs, business owners and corporate executives.",Financial Services
Oloid,Oloid is a physical identity software platform committed to providing secure and privacy-forward authentication for the modern workplace.,Computer Software
Bugworks,Path breaking solutions to large unmet needs in Antimicrobial resistance (AMR) and immuno-oncology.,Biotechnology
Peakperformer,Empowering organizations by building leaders at all career levels.,Professional Training & Coaching
Carbanio,India's largest Chemicals Bazaar for buying and selling chemicals online,B2B Marketplace
Life & Pursuits,"Life & Pursuits is an Ayurveda beauty & wellness brand that focuses on global demand for organic, safe and effective products.","Health, Wellness & Fitness"
Cercle X,Infinite Cercle is the parent company of a group of companies dealing predominantly with enabling a circular economy and sustainability.,Environmental Services
Spacejoy,Building the future of home designs by weaving art and interactive 3D technology to enable the joy of designing homes in simple and easy steps.,Design
Better Opinions,"Better Opinions, an even trading platform",Financial Services
Prolance,"Prolance,  a manufacturing platform for interior design companies",Furniture
Runo,"Runo delivers the functionalities of a full-function Customer Relationship Management suite, all built into a mobile app.",Computer Software
RENEE Cosmetics,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.",Cosmetics
Altigreen,"Altigreen is a leader in Electric Vehicle (EV) technology and solutions for Last Mile Transportation (LMT) through 2, 3 and 4 wheeled vehicles for commercial use.",Automotive
InMobis Glance,Glance is an artificial intelligence based software company that delivers personalised content to the lock screens of smartphones.,Software
Kenko Health,"Kenko Health is a new take on Health financing, with deeper and wider coverage options at significantly lower prices. Check out our plans with wide OPD coverage",Hospital & Health Care
Aulerth,Aulerth is bridging the gap between two worlds by creating jewelry that is couture-inspired and consciously made.,Luxury Goods & Jewelry
AltUni,Community-based alternative digital university,Education Management
GreenPod Labs,Provide cost-effective post-harvest solutions to extend the shelf life of fruits and vegetables during storage and transport.,Biotechnology
RapiPay,A single app for all banking and financial needs.,Financial Services
Entri.app,"E-learning Entri is a vernacular language learning platform for India, focused on helping people acquire relevant job skills.",E-learning
GOQii,GOQii is a smart preventive healthcare ecosystem which enables you to live a healthy and active life!,"Health, Wellness & Fitness"
Proactive For Her,"Proactive For Her is a digital platform for women, offering accessible, personalized and confidential healthcare solutions.","Health, Wellness & Fitness"
Actyv.ai,Large enterprises are using Actyv.ai to transform their supply chains and to empower their Channel Partners.,Computer Software
Lummo,Lummo exists for entrepreneurs filled with motivation and a zeal to grow.,SaaS
Uniphore,"Uniphore is the global leader in Conversational Service Automation (CSA), which combines the power of artificial intelligence, automation technology and machine learning.",Computer Software
Join Ventures,"Join Ventures, house of D2C brands for celebrations, is building leadership through its growing portfolio of brands, including IGP.com",Venture Capital & Private Equity
AGRIM,"A B2B Agri-Input e-commerce marketplace, which brings small retailers and manufacturers on one platform.",AgriTech
DealShare,"Dealshare is a fast growing social e-commerce startup, an online buying platform for multi-category consumer products, focused on the new 'WhatsApp first' India.",Social commerce
GrowFitter,Growfitter is a gamified digital health reward platform that adds financial benefits to your physical activity!,"Health, Wellness & Fitness"
Stellapps,Stellapps is an end-to-end dairy technology solutions company  the first of its kind in India.,Computer Software
Propelld,Propelld is a series-B funded fintech company that enables flexible financing solutions through fully digital journeys for learners pursuing education programs at vetted partner institutions.,Financial Services
Pine Labs,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,Information Technology & Services
Increff,Increff is a business partner to Fashion and Lifestyle brands and retailers to deliver significant and sustainable increase in sales and inventory efficiency.,Computer Software
Krishify,Rural social network,Social Media
Fleetx.io,Fleetx is an AI-Driven Freight Movement Platform that helps supply chain and logistics stakeholders digitize their operations and helps them make smart decisions based on real time actionable insights.,Computer Software
MediBuddy,"MediBuddy - Indias Largest & most Trusted Digital Healthcare Platform for inpatient, outpatient, wellness & fitness needs","Health, Wellness & Fitness"
Happilo,Happilo is a gourmet healthy food brand from Bangalore.,Food & Beverages
V-Ensure,Development of Pharmaceutical dossiers for the regulated markets.,Pharma
Chargeup,"Charge-up offers  Battery as a Service, solving the high cost problem  and inconvenience of  long charging hours,  through its distributed  network of battery swapping hubs.",Renewables & Environment
RetainIQ,"RetainIQ enables ecommerce stores & brands globally, to convert and retain their customers",E-commerce
Adicube,An influencer marketing platform,Marketing & Advertising
Com Olho,Com Olho is a leading cloud-based cyber security as a service platform.,Information Technology & Services
CertifyMe,A Credential platform that enables Event producers and TechEd firms to maximize their brand's presence,Information Technology & Services
Wholsum Foods,Millet-based food startup,Food & Beverages
SandLogic,"SandLogic (SL) is an Enterprise AI company, born with a passion to deliver the AI that powers Enterprises.",Computer Software
Xoxoday,"Xoxoday provides technology infrastructure to enable businesses to automate rewards, incentives & payouts for employees, customers & channel partners.",Computer Software
Shipsy,"Empower organizations handling trade and logistics to accelerate business growth, optimize costs and enhance customer experiences using our smart end-to-end global logistics management platform.",Computer Software
Arrivae,"Arrivae, an interior designing startu",Furniture
IvyCap Ventures,IvyCap Ventures has launched a venture capital fund guided by an entrepreneur-centric investment approach.,Investment Management
Finarkein Analytics,Finarkein Analytics are the builders of Flux: A responsible analytics platform.,Information Technology & Services
StockDaddy,StockDaddy ''The Stock Learning App'' that has the power to turn even a rookie into a booming trader at the stock market.,E-learning
Prime Venture Partners,An early-stage Venture Fund managed by serial entrepreneurs.,Venture Capital & Private Equity
Bhanzu,Bhanzu aims to inculcate a love for math at a global level and change the way students perceive math for a better world,Education Management
Kalvi,World's first liberal engineering degree in Computer Science. Partnership with top universities and enterprises.,Education Management
Aastey,"Building India's first size inclusive brand for athleisure, activewear & essentials for women.",Apparel & Fashion
Accelero Vehicles,"eBik developed by ""Accelero Vehicles India Private Limited aims to provide motorized mobility for all.",Automotive
UP Funds,SaaS Accelerator for founders who care about optionality,SaaS
Koo,"Koo App, the microblogging platform",Microblogging
DaMENSCH,"Innovative, sustainable, premium, essential fashion for men.",Apparel & Fashion
TestSigma,A powerful open source test automation platform for modern teams.,Information Technology & Services
Upswing Financial Technologies,"Enable consumer companies to offer differentiated financial products and empower the financial institutions with greater reach through our Secure, Scalable and easy to integrate API platform.",Financial Services
ClaimBuddy,ClaimBuddy.in is a MediClaim support company that acts as one-stop solutions for Claim assistance for Patients & Hospitals.,Hospital & Health Care
