product_name,product_description,product_domain
Glance,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,AI startup
VerSe Innovation,Owner of Dailyhunt App and I-Pay,Telecommunication
Voosh,Building India's largest digital food service brand,Food Industry
Delhivery,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,E-commerce
Arya,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",AgriTech
Pickrr,Pickrr is an on-demand first mile logistics company,Logistics
PhonePe,PhonePe is a mobile payment application that enables users to transfer money instantly.,FinTech
Countingwell,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",EdTech
Callify.ai,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,Tech Startup
Hudle,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Sports
Cover it Up,Online portal that churns out high quality products,E-commerce
BiteSpeed,Chat-based commerce for E-commerce brands,E-commerce
WakeFit,Wakefitkart is a mattress manufacturing company,Retail
Sreyas Holistic Remedies,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Medtech
Fleeca India,FLEECA is a Tyre Care Provider company.,Tyre management
M1xchange,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,FinTech
Exotel,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Cloud company
PagarBook,"Staff's Salary, Work & Attendance Management Application",Software company
PointOne Capital,Pre-seed/Seed focussed VC investor,Venture capitalist
Ayana,Ayana Renewable Power is an Indian renewable energy platform,Renewable player
Fisdom,Fisdom is a fintech company that offers investment advisory services through an application.,FinTech
Tinker Coders,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,EdTech
Infinite Uptime,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,IoT startup
HappyLocate,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",SaaS startup
PhonePe,PhonePe is a mobile payments application that allows the user to transfer money instantly.,FinTech
Loop Health,Loop Health is bringing ease and choice to patients seeking major medical treatments.,HealthTech
NeoDocs,Neodocs analyses medical reports and provides personalised health recommendations remotely.,HealthTech
The ePlane,Transforming the mobility landscape using aerial transport.,Aero company
TagMango,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",Marketing company
The New Shop,The New Shop is a chain of high speed retail stores,Retail startup
MobiKwik,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",FinTech
DebugsBunny,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,EdTech
BHIVE Investech,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,Co-working Startup
Rivigo,Rivigo is a technology-enabled logistics platform provider that offers transport services.,Logistics
ZipLoan,ZipLoan is a online lending platform,Finance company
Swipez,Swipez is a payment collection platform.,FinTech
Humus,Farmgate to Retail outlet Agri-Fresh produce supply chain,AgriTech
Artivatic.ai,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Tech company
Prescinto,Prescinto provides solutions for solar monitoring and analytics solutions.,Solar Monitoring Company
Toppeq,SaaS-based equity management platform,SaaS startup
Bolo Indya,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",Video sharing platform
Bombay Play,Bombay Play is a Card and Toy Company Making games for India.,Gaming startup
FreshToHome,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,E-commerce
KIKO TV,KIKO TV is an AI-based short live video e-commerce platform.,Video streaming platform
Atomberg Technologies,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",Consumer appliances
DealShare,DealShare is a Social Commerce Startup,E-commerce
Smallcase,Changing how India invests in equities,FinTech
CueMath,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,EdTech
Gamerji,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",Gaming startup
5C Network,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",HealthTech
Ethereum Push Notification Service,EPNS is a decentralized notification protocol,Blockchain startup
Mihup,Intelligence-based personal mobile assistant app,Conversational AI platform
RuralBasket,Naturally grown and healthy products directly from farmers.,E-commerce
WayCool Foods,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",AgriTech
Infra.Market,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,Real Estate
Info Edge Venture,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Venture capitalist
Clovia,Clovia is the online lingerie retailer,E-commerce
Codingal,Coding education platform for K-12 students,EdTech
CRED,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Finance company
Vistaar Finance,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,Finance company
Let's Dive,A platform for remote employee engagement and building team culture,SaaS platform
Habitat,"Habitat, a social learning edtech platform for civil service aspirants",EdTech
SAWO Labs,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,SaaS platform
Signzy,Signzy are creating 'building blocks for a Digital Trust system.,AI platform
KopyKitab,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",EdTech
Kyt,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,EdTech
Raskik,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,Fusion beverages
GetWork,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,HR Tech
Mobile Premier League (MPL),Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,Gaming
Pravasirojgar,Initiative for blue-collar job workers,Job portal
Omatra Hotels,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,Hospitality
Awign,Operations and manpower outsourcing startup,Job portal
NewsReach,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,Digital Media
Cashfree,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,FinTech
Credgenics,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",FinTech
GeoIQ,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",AI startup
Country Delight,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,Dairy startup
Quintype,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Content management
CARS24,CARS24 is an India-based platform for selling used cars.,Retail
Astrogate Labs,Astrogate Labs provides high-quality products related to space infrastructure.,Spacetech
Power Gummies,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,HealthTech
Cityflo,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,Transportation
AlgoBulls,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,Trading platform
Credgenics,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",FinTech
Inntot,"Inntot Technologies, is a technology driven company.",Tech company
Ensuredit,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,FinTech
Shipsy,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,AI Company
ERPNext,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Tech company
LightSpeedAI,Developer of an optoelectronic processor designed to accelerate AI computations.,Photonics startup
Grip Invest,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,FinTech
Unacademy,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,EdTech
Yellow Classes,New-age fun-learning platform for kids.,EdTech
Plum,High quality health insurance and health benefits,HealthTech
STAGE,STAGE is an Indian language content platform for artist-led entertainment.,Entertainment
Nykaa,Nykaa is an online marketplace for different beauty and wellness products.,Cosmetics
Kaagaz Scanner,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,Scanning app
NIRA,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",FinTech
Prolixr,A premium skincare brand committed towards building innovative skin care wellness.,Skincare startup
Byju's,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,EdTech
DaMENSCH,DaMENSCH is a designer and seller of men's apparel.,E-commerce
Country Delight,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,Food and Beverages
SignalX,SignalX offers an artificial intelligence-powered SaaS platform,AI startup
Lancify,Lancify is building the world's strongest young workforce,EdTech
Krimanshi,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Biotechnology company
Instoried,Instoried is an augmented writing platform which improves customer interest and engagement.,AI startup
PlayerzPot,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",Gaming startup
Instamojo,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",FinTech
Turtlemint,Turtlemint has built Indian personalized insurance platform,HealthTech
Arata,Arata is an e-commerce site for beauty products and cosmetics.,E-commerce
MPL,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,Gaming startup
True Balance,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,FinTech
Thrive,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",FoodTech
Kitchens Centre,Kitchens Centre offers turnkey solutions to cloud kitchens.,Proptech
Prescribe,Provide online services to patients by leveraging WhatsApp.,HealthTech
Nepra,NEPRA Resource Management provides waste management solutions in India.,CleanTech
inFeedo,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",SaaS startup
Shilpa Sciences,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,HealthTech
Arzooo,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",Tech Startup
MindTickle,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,SaaS platform
Krimanshi,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Biotechnology company
Slice,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,FinTech
Rapawalk,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,E-commerce
Oga Fit's,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Fitness startup
LAVAL,"Laval Cosmetics, affordable makeup for all ages",Cosmetics
Stride Ventures,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Venture capitalist
BlackSoil,Blacksoil Advisory is an independent boutique advisory firm.,FinTech
Biocon,"Biocon is a healthcare and technology, company focused on biotechnology.",Healthcare
Clientjoy,Client Management Software For Modern Agencies.,SaaS startup
Xpressbees,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,E-commerce
GalaxyCard,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,FinTech
Wellness Forever,Wellness Forever is the one-stop destination for wellness,HealthTech
MoooFarm,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,AgriTech
BitClass,BitClass is a PaaS solution which helps teachers set up their independent live classes,PaaS startup
Gonuts,Personalised Video shoutouts from favourite celebrity.,Entertainment
Uolo,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,EdTech
Kirana King,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Retail
Jade Forest,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",Beverages
iKure,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,HealthTech
FrontRow,"Comprehensive courses, taught by idols.",EdTech
Reliance Retail,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,E-commerce
TUBBR,World's First Personal Social Network,Social Media
Ather Energy,Ather Energy is a manufacturer of electric scooters.,Automobiles
Routematic,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,SaaS startup
LivFin,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),FinTech
Universal Sportsbiz Pvt Ltd,A fashion startup based in Bengaluru.,Fashion startup
Lattu Kids,Lattu kids is an edutainment platform for preschool kids.,EdTech
Eggoz,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",Food & Bevarages
Steradian Semiconductors,Semiconductor company focused on CMOS millimeter wave products for Radar.,Deeptech
CHARGE+ZONE,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",EV startup
Stones2milestones,Stones2milestones is India (Delhi) Based EdTech Company,EdTech
Udacity,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",EdTech
AjnaLens,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",AR/VR startup
Gully Network,Gully Network is a tech-enabled network of mid-sized grocery stores.,E-commerce
TurboHire,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,Recruitment startup
Traya,work with our customers closely to get their hair health sorted for long-term effective results,HealthTech
Charcoal Eats,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",QSR startup
Mitron TV,Mitron is a free short videoplatform for next generation,Video platform
Svami,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Food & Bevarages
Dhurnia,Developer of an online learning platform intended for various competitive exam preparations.,EdTech
Expertrons,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,EdTech
Leena AI,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,AI startup
Bizlog,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,Logistics
Tamasha.live,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",Gaming
Fedo,Artificial Intelligence based Credit Score for Health,AI startup
FabHotels,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,Hospitality
Freshokartz,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",AgriTech
FlexiLoans,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",FinTech
Agrix,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",AgriTech
BharatAgri,A Smart Farming Technology Platform for Indian Farmers,AgriTech
FreshtoHome,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,E-commerce
Credable,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,FinTech
Railofy,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,Transportation
Finova Capital,Finova Capital is a non-banking financial company.,FinTech
Teachmint,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Edtech
Peel-Works,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,E-commerce
Janani,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Fertility tech
Credgenics,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",FinTech
Finelistings,A Used Luxury Car Marketplace,Luxury car startup
Wellversed,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,Healthcare
Nykaa,Nykaa is an online marketplace for different beauty and wellness products.,Cosmetics
Jumbotail,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",E-commerce
Winzo,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,Gaming startup
mCaffeine,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",Cosmetics
Pocket FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,FM
Snackible,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,Healthcare
FreshtoHome,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,E-commerce
Jumbotail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,Retail
Nykaa,Nykaa is an online marketplace for different beauty and wellness products.,E-commerce
TagZ Foods,TagZ Foods is a supplier of snacks and food products.,Food
Genius Teacher,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",Edtech
Krimanshi Feeds,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nutrition sector
Origo,Provider of marketing and warehousing services for agricultural commodities.,AgriTech
GetVantage,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,FinTech
Betterplace,Developer of a digital verification platform designed to manage the semi-formal workforce.,Tech platform
Biddano,India's 1st tech-enabled healthcare logistics platform.,Healthcare
InVideo,InVideo enables you to transform your content into great videos.,Video
Arzooo,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",Retail Tech
Hubilo,World’s smartest virtual event platform that brings Experience & Intelligence together,Tech company
BASIC Home Loan,"A platform for automating home loans for middle and low-income households in India,",FinTech
Ketos,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,AI startup
SUGAR cosmetics,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,Cosmetics
Signzy,It is creating 'building blocks for a Digital Trust system.,FinTech
Ahaguru,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",Edtech
Tekion,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,AI startup
Brighteye Ventures,Education technology venture capital firm.,Edtech
EzeRx,Developer and manufacturer of medical devices,Medtech
VitalTech,"VitalTech is a develop technologies that empower patients to better care for their safety,",HeathTech
Genius Teacher,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",Edtech
Ultraviolette Automotive,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,Automobiles
Tring,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",Social Media
Rare Planet,Rare Planet sells handicrafts made by local artisans.,Retail startup
GoodGamer,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Gaming
InnAccel,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Medtech
Tiliter,Software that uses computer vision to recognise products without barcodes,Retail
Slintel,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",Sles and marketing
SoOLEGAL,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",LegalTech
HobSpace,India's Activity Hub for Kids,Edtech
Supplynote,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,SaaS startup
Hire Me Car,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Car Service
ShopUp,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",E-commerce
Harmonizer India,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",Tech Startup
Zomato,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,FoodTech
Dukaan,Developer of an android application designed for businesses to sell online.,Tech Startup
CredR,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,Bike marketplace
Satyukt,An agritech company that provides business to business (B2B) agricultural data,Agri tech
RACEnergy,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,Automobiles
TREAD,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Fitness startup
Anveshan,Provide quality and healthy food products,FoodTech
TeaMonk,India's Finest Specialty Tea company.,Food & Bevarages
Fleetx,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",Tech Startup
ReNEWate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Real Estate
Tango Eye,Retail Video Analytics SaaS product,SaaS startup
Rare Planet,Rare Planet sells handicrafts made by local artisans.,Reatil startup
Avataa Me,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,AR platform
Arrival,Arrival is a technology company that specializes in developing electric vehicles.,EV startup
Cover Genius,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,FinTech
Phononic Vibes,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.",Deeptech
MikeLegal,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,LegalTech
Clair,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,FinTech
Gourmet Garden,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Consumer Goods
Miko,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",AI startup
Razorpay,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",FinTech
Ninjacart,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",Food Industry
Wow! Momo,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,Food Industry
Pepper Content,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,Content marketplace
LIVSPACE,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",Interior Design
Acculi Labs,Acculi Labs is a clinical grade smartphone based diagnostic tool,Healthcare
Your MD,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,Healthcare
Antaios,Developer of memory-based technology intended to solve issues of advanced computing.,Tech company
Unnati,A helping hand to the farming community through Artificial Intelligence,AgriTech
Disprz,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",Edtech
Uni,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,FinTech
Credit Wise Capital,CreditWise Capital is a consumer finance company.,FinTech
Chargebee,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,SaaS startup
Reliance Retail Ventures Ltd,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Retail
Winuall,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",Edtech
Genrobotics,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,AI startup
Livve,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Rental space
Ergos,Ergos is building an integrated supply chain by setting up micro warehouses.,AgriTech
Krishitantra,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,Soil-Tech
PakkaProfile,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",Recruitment startup
Monet Networks,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,AI startup
Unocoin,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",FinTech
Pesto,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,Edtech
NirogStreet,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ayurveda tech
Bambrew,Bambrew is an online shop for reusable bamboo straws.,Packaging solution startup
Omnify,Omnify is a Global SaaS platform for Small Services Business,SaaS startup
Fanball XI,The gaming company mostly focused on fantasy football games,Gaming
Treebo Hotels,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",Hospitality
GPS Renewables,To solve the urban waste problem by utilising local technologies and business models.,Cleantech
Public,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Social Media
Legal Salah,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,LegalTech
FanPlay,FanPlay Technologies operates as a real-money gaming startup.,Gaming
ECOSTP,Eco friendly zero power zero maintenance sewage treatment plant in India.,Sanitation solutions
Coralogix,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,SaaS startup
Equiwatt,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,Tech company
Reliance Retail Ventures,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",E-commerce
Zhangmen,Zhangmen is an online tutoring platform provides tutoring courses to students.,Edtech
AgroWave,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,AgriTech
Sapio Analytics,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,Tech company
Taimei,Taimei Technology provides a cloud platform for clinical research collaboration.,HealthCare
Avanse Financial Services,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",FinTech
Industry Buying,India's largest industrial ecommerce platform,E-commerce
Hopscotch,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",E-commerce
Pristyn Care,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,HealthCare
WoodenStreet,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,Home Design
ACKO,Acko General Insurance is a private sector general insurance company in India.,InsureTech
Farmers Fresh Zone,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,AgriTech
Invento,Invento Robotics specializes in developing service robots intended for customer interactions.,AI Startup
Infurnia,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,Tech Startup
AnalytIQSports's SuperCric,SuperCric is India's first strategy Cricket Manager simulation game,Entertainment
Snowflake,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,Tech company
GenieTalk,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,Tech company
Classplus,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,EdTech
Mobile Premier League,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,Entertainment
Fourth Partner Energy,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,Solar solution
