product_name,product_description,product_domain
Edustoke,"Edustoke is India's Largest School Discovery, Selection & Reviews Platform.",EdTech
NewsReach,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,Online Media
Cloud Tailor,World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.,Apparel & Fashion
Arya.Ag,World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.,AgriTech
Epigeneres Biotech,"Epigeneres is a leading biotechnology company that discovers, develops, manufactures and commercializes molecular medicines and nutrigenomic formulations",Biotechnology
INDmoney,INDmoney is a Super Money App that brings all family's finances to one place.,Financial Services
Addverb Technologies,Addverb is a global robotics company based out of India.,Industrial Automation
Qarmatek,A credible after-sales service partner with customized & predictive solutions for electronic gadgets & appliance brands.,Telecommunications
AppX,Enables creators to run their online businesses from their own storefront,Tech startup
MyCaptain,MyCaptain is an ed-tech startup that enables every human to pursue a career they love.,EdTech
Mivi,Mivi is an electronic accessories startup founded by two engineers with the goal of making Quality Affordable,Electrical & Electronic Manufacturing
HUVIAiR,Huviair is a construction technology company that helps business' to enhance on-site productivity and reduce progress monitoring time while cutting down on overall project costs.,Computer Software
Aerostrovilos Energy,Aerostrovilos is an IIT Madras-based startup company that manufactures micro gas turbines which can electrify heavy-duty long haul trucks,Machinery
Scripbox,Scripbox is India's leading digital wealth management service.,Financial Services
Pluckk,Fresh produce food-tech venture,Food & Beverages
Dogsee Chew,100% Natural Dog Treats.,Food & Beverages
Lummo,Empower SEA entrepreneurs to grow their business by providing them with the best technology & partner solutions,Entreprenurship
Threedots,A community investing platform,Financial Services
MatchLog,First Multi-Modal Marketplace with Power of Triangulation and Cargo network to DELIVER ZERO WASTAGE,Logistics & Supply Chain
NowPurchase,Production driven procurement for India's 140B$ Metal Manufacturing Industry,B2B marketplace
Sahicoin,"Sahicoin aims to empower the next billion crypto enthusiasts to make faster and better investing decisions, by providing simple and actionable information from a global community of trusted friends and experts.",Financial Services
Finsall,Finsall is an end-to-end technology process for insurance premium financing and has built a multi-lender platform for banks and NBFCs.,Financial Services
GameEon Studio,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",Computer Games
Trainn,Trainn helps SaaS companies accelerate product adoption with product training videos and academies.,Computer Software
Diginoor,A first of its kind NFT marketplace for the most exclusive and officially licensed Indian cinema collectibles.,Information Technology & Services
Pi Ventures,Pioneering deep-tech investments in India!,Venture Capital & Private Equity
SaaS Labs,"Building high impact communication, workflow and productivity tools for sales and support teams throughout the globe.",SaaS
StockGro,Making Investment Social- India's First Social Trading Platform,Financial Services
GIVA,"GIVA is an online first silver jewellery store aiming with a vision to provide authentic, elegant, and affordable jewellery.",Luxury Goods & Jewelry
toothsi,Toothsi offers at-home smile makeover service.,"Health, Wellness & Fitness"
Zuper,"Zuper is an Enterprise mobility platform enabling organizations to manage, modernize and transform field and remote workforce.",Information Technology & Services
CellStrat,CellStrat is an AI Product and R&D firm serving global AI customers via an innovative AI SAAS platform!,Computer Software
StanPlus,"Provide hospitals and enterprises with tech solutions that augment their existing medical response systems to respond faster, and offer the patients better experience throughout the emergency value chain.",Hospital & Health Care
Swiggy,Swiggy is India's leading on-demand delivery platform with a tech-first approach to logistics and a solution-first approach to consumer demands.,FoodTech
Ola Electric,Charging ahead to accelerate the worlds transition to sustainable mobility.,Automotive
Hospals,Hospals is The most trust able medical travel company in India, connecting patients and doctors around the world, with the best hospitals and surgeons in India., connecting patients and doctors around the world, with the best hospitals and surgeons in India.",Hospital & Health Care
HYPD,"Hypd is a creator-driven marketplace, aimed at bridging the gap between getting excited and buying.",E-commerce
Oben Electric,Oben EV is an electric vehicle company developing new electric 2-wheelers in-house with indigenously developed components to deliver high quality products for the Indian market,Automotive
SustainKart,India's largest ecommerce marketplace exclusively for sustainable products.,E-commerce
Super Scholar,A mission to give every Indian access to the education they deserve.,Education Management
NowPurchase,NowPurchase is currently focused on the 19B$ foundry and castings industry.,Metal manufacturing
Darwinbox,"A new-age, end to end HR Technology platform built for Enterprise.",Information Technology & Services
Flint,Crypto investment startup,Financial Services
Vajro,Vajro is an Instant mobile app platform which builds exquisitely crafted native apps for your e-commerce store!,Computer Software
Raise Financial,A better way to manage your money. Financing + Insurance + Investing + Payments + Wealth.,Financial Services
Desi Hangover,"DesiHangover is a handcrafted, upcycled leather shoe brand that goes beyond just that.",Apparel & Fashion
Vyapar,Vyapar is the simplest and easy to use Accounting and Inventory management application.,Financial Services
MinIO,"MinIO has pioneered the creation of high-performance, kubernetes-native object storage.",Computer Software
Growth School,Partner with the top 1% of instructors to create high-impact Cohort Based Courses on personal and professional growth.,E-learning
Kissht,"Kissht is a financial technology platform that enables instant, seamless credit for consumers to make purchases at digital points of sale",Financial Services
iMocha,iMocha offers the most comprehensive skills assessment solutions to help enterprises hire job-fit candidates,Computer Software
Our Food,Democratising food processing industry ~ Farmers becoming entrepreneurs,Food Production
o9 Solutions,"The knowledge powered analytics, planning and learning platform for next-generation global enterprises.",Computer Software
Hike,"Hike is building a new social future at the intersection of Social, Gaming & Crypto.",Social Media
SuperOps.ai,SuperOps.ai is an early stage startup in the MSP space.,Computer Software
Aqgromalin,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,Farming
Ekank Technologies,Vision is to create a gateway through which people can access content seamlessly without getting overwhelmed.,Software
Broomees,"Broomees is revolutionizing the unorganized sector to bring to the customers, one curated platform for all their helper needs.",Information Technology & Services
Moglix',An Asia-based B2B commerce company intensively inclined towards B2B procurement of industrial supplies,Software
Social Swag,A platform for infinite possibilities with favourite celebrities,E-learning
MoooFarm,Building connected commerce to lift India's 100 million dairy farmers out of poverty and ensure nutritious milk for over billion people.,Information Technology & Services
Infurnia,Infurnia is the world's first cloud-based architecture and interior design platform created for professional users.,Information Technology & Services
Bold Finance,"Building a technology and operations layer, which enables jewelers and pawnbrokers to work with multiple Banks and convert the unorganized business into an organized one with just an app.",Financial Services
VDOC,"VDoc enables healthcare practitioners to offer evidence-based Care with feature-rich, data collecting, medical devices","Health, Wellness & Fitness"
Kisanwala,"Helping farmers with end-to-end solutions for all farm needs by providing technology, information, inputs and support.",Information Technology & Services
Burgerama,"A fast-casual, made for delivery burger experience, serving authentic, International, easy-to-eat comfort food, in eco-friendly packaging!",Food & Beverages
ZFW,ZFW is India's 1st platform to help F&B & D2C brands scale distribution rapidly using its network of 120+ dark stores across major cities.,D2C
PlantVita,PlantVita offers irresistible plant-based products with no compromise on nutrition.,"Health, Wellness & Fitness"
