product_name,product_description,product_domain
HackerRank,HackerRank is a technology hiring platform that is the standard for assessing developer skills for over 2800 companies around the world.,Software Development
CityMall,"CityMall is a community commerce platform focused on 300 million new to internet users living in small cities, towns, and villages in India.",Manufacturing
Pine Labs,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,IT Services and IT Consulting
OSlash,"OSlash is an enterprise URL manager that helps teams navigate, manage, and share information by internally naming all important links.",Software Development
SuperK,SuperK is a full-stack solution to empower small format retail stores in India.,Retail
CARD91,"Card91 offers plug & play payment infrastructure as a service for the businesses who want to issue, control, view and approve payments.",Financial Services
FarMart,FarMart is building an alternative food value chain that is transparent and financially rewarding for both farmers and businesses,Farming
Pi Beam Electric,An end to end micromobility EV solutions company with data driven analytics. IIT Madras Incubated StartUp.,Motor Vehicle Manufacturing
Seekho.ai,"Seekho is India's first micro-learning based platform to learn, mentor and hire.",E-Learning Providers
UPCRED,Founded to empower the worlds creators to be as economically successful as possible.,Internet Publishing
TrustCheckr,TrustCheckr uses AI and statistically arrives at TrustScore for fraud prevention. We provide Real time APIs with simple Integration.,IT Services and IT Consulting
Games24x7,"Games24x7 is India's leading digital skill games company with an exciting full-stack games portfolio across skill games, fantasy sports and casual games.",Internet Publishing
Finova Capital,"Finova Capital, a leading MSME focused NBFC",Financial Services
HealthQuad,HealthQuad is a healthcare innovation fund with a vision to nurture models that transform healthcare in India.,Venture Capital and Private Equity Principals
Wiz Freight,Wiz is a tech-enabled freight forwarding platform for the modern day.,"Transportation, Logistics and Storage"
OneCode,A new age reseller platform in the e commerce space funded by the industry leaders.,Financial Services
Kogta Financial,Kogta Financial (I) Ltd is a retail focused Non Banking Finance Company with more than 25 years of experience in Asset Finance Business (AFCs).,Financial Services
